"SOURCE_TABLE","SOURCE_COLUMN","SOURCE_VALUE","SOURCE_DESCRIPTION","TARGET_TABLE","TARGET_COLUMN","TARGET_CONCEPT_ID_CHAR","COMMENTS","TARGET_CONCEPT_ID"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","[lb_av]","pound (US and British)","","","8739","From N3C","8739"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","[mclg'U]","Maclagan unit","","","9358","From N3C","9358"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","[oz_tr]","Troy ounce","","","9374","From N3C","9374"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","[ppm]{v/v}","part per million in volume per volume","","","9241","From N3C","9241"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","[pptr]","part per trillion","","","9155","From N3C","9155"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","[todd'U]","Todd unit","","","9415","From N3C","9415"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","cal","calorie","","","9472","From N3C","9472"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","cm[Hg]","centimeter of mercury","","","9548","From N3C","9548"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","eq","equivalent","","","9489","From N3C","9489"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","g/(100.g)","gram per 100 gram","","","9508","From N3C","9508"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","g/g{tissue}","gram per gram of tissue","","","9510","From N3C","9510"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","g/kg/(8.h)","gram per  kilogram per 8 hour","","","9690","From N3C","9690"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","g/kg/min","gram per kilogram per minute","","","9688","From N3C","9688"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","g{total_nit}","gram of total nitrogen","","","9249","From N3C","9249"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","kg/m2","kilogram per square meter","","","9531","From N3C","9531"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mL/(2.h)","milliliter per 2 hour","","","44777613","From N3C","44777613"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mL/(4.h)","milliliter per 4 hour","","","44777613","From N3C","44777613"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mPa","millipascal","","","44777623","From N3C","44777623"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mU/L","milli enzyme unit per liter","","","45890995","From N3C","45890995"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mU/g","milli  enzyme unit per gram","","","8629","From N3C","8629"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","mbar.s/L","millibar second per liter","","","44777614","From N3C","44777614"
"DEATH","DEATH_DATE_IMPUTE","N","Not  imputed","","","42531037","From N3C","42531037"
"DEATH_CAUSE","DEATH_CAUSE_CONFIDENCE","E","Excellent","","","45881924","From N3C","45881924"
"DEATH_CAUSE","DEATH_CAUSE_CONFIDENCE","NI","No  information","","","0","From N3C","0"
"DEATH_CAUSE","DEATH_CAUSE_TYPE","C","C=Contributory","","","36309756","From N3C","36309756"
"DEATH_CAUSE","DEATH_CAUSE_TYPE","I","I=Immediate/Primary","","","36310205","From N3C","36310205"
"DEATH_CAUSE","DEATH_CAUSE_TYPE","UN","UN=Unknown","","","0","From N3C","0"
"DEMOGRAPHIC","GENDER_IDENTITY","OT","OT=Other","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","AAR","Afar","","","44784496","From N3C","44784496"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","ALT","Southern  Altai","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","ARW","Arawak","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","BAL","Baluchi","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","BEN","Bengali","","","4153314","From N3C","4153314"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","BUG","Buginese","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","CAD","Caddo","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","CYM","Welsh","","","4256748","From N3C","4256748"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","DEN","Slave  (Athapascan)","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","DEU","German","","","4253310","From N3C","4253310"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","ELL","Modern  Greek  (1453�)","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","ENG","English","","","4151757","From N3C","4151757"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","EWO","Ewondo","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","FRR","Northern  Frisian","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","GAA","Ga","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","GLE","Irish","","","44784507","From N3C","44784507"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","GLG","Galician","","","44782488","From N3C","44782488"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","HEB","Hebrew","","","4235406","From N3C","4235406"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","JPR","Judeo-Persian","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","KIN","Kinyarwanda","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","KRC","Karachay-Balkar","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","KUT","Kutenai","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","LEZ","Lezghian","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","LUB","Luba-Katanga","","","46287226","From N3C","46287226"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","LUI","Luiseno","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","MLT","Maltese","","","44782896","From N3C","44782896"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","NDE","North  Ndebele","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","NIU","Niuean","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","NLD","Dutch;  Flemish","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","NNO","Norwegian  Nynorsk","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","NOB","Norwegian  Bokm�l","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","PAG","Pangasinan","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","POL","Polish","","","4153319","From N3C","4153319"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","QUE","Quechua","","","44782514","From N3C","44782514"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","ROH","Romansh","","","44782904","From N3C","44782904"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","RUS","Russian","","","4151758","From N3C","4151758"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","SID","Sidamo","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","SMA","Southern  Sami","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","SRD","Sardinian","","","46285425","From N3C","46285425"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","TAT","Tatar","","","44782911","From N3C","44782911"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","TEL","Telugu","","","44782912","From N3C","44782912"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","TSN","Tswana","","","44784519","From N3C","44784519"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","TUK","Turkmen","","","44782915","From N3C","44782915"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","TWI","Twi","","","44784520","From N3C","44784520"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","UIG","Uighur;  Uyghur","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","UMB","Umbundu","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","WAR","Waray","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","XAL","Kalmyk;  Oirat","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","ZEN","Zenaga","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","ZUN","Zuni","","","0","From N3C","0"
"DEMOGRAPHIC","SEXUAL_ORIENTATION","AS","AS=Asexual","","","35623015","From N3C","35623015"
"DISPENSING","DISPENSE_SOURCE","NI","NI=No information","","","0","From N3C","0"
"DISPENSING","DISPENSE_SOURCE","OD","OD=Order/EHR","","","32817","From N3C","32817"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","L/s/s2","liter per second per square second","","","44777607","From N3C","44777607"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","T","Tesla","","","9646","From N3C","9646"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","U/(12.h)","enzyme unit per 12 hour","","","8630","From N3C","8630"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","U/10*10{cells}","enzyme unit per 10 billion cells","","","8783","From N3C","8783"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","U/g{creat}","enzyme unit per gram of creatinine","","","8915","From N3C","8915"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","U/g{protein}","enzyme unit per gram of protein","","","8979","From N3C","8979"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","[IU]","international unit","","","8718","From N3C","8718"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","[arb'U]","arbitrary unit","","","9260","From N3C","9260"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","[degF]","degree Fahrenheit","","","9289","From N3C","9289"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","[foz_us]","fluid ounce (US)","","","9304","From N3C","9304"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","[in_i]","inch (international)","","","9327","From N3C","9327"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","[tb'U]","tuberculin unit","","","9413","From N3C","9413"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","atm","atmosphere","","","9454","From N3C","9454"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","bar","bar","","","9464","From N3C","9464"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","d","day","","","8512","From N3C","8512"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","dyn.s/cm","dyne second per centimeter","","","32738","From N3C","32738"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","eV","electron Volt","","","9495","From N3C","9495"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","fm","femtometer","","","9497","From N3C","9497"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","fmol/L","femtomole per liter","","","8745","From N3C","8745"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","fmol/mg","femtomole per milligram","","","9500","From N3C","9500"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","fmol/mg{cyt_prot}","femtomole per milligram of cytosol protein","","","9500","From N3C","9500"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","g/(4.h)","gram per 4 hour","","","44777594","From N3C","44777594"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","g/(5.h)","gram per 5 hour","","","8791","From N3C","8791"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","g/L","gram per liter","","","8636","From N3C","8636"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","g/dL","gram per deciliter","","","8713","From N3C","8713"
"DEATH","DEATH_SOURCE","UN","Unknown","","","0","From N3C","0"
"DEATH_CAUSE","DEATH_CAUSE_CONFIDENCE","P","P=Poor","","","45876751","From N3C","45876751"
"DEMOGRAPHIC","GENDER_IDENTITY","F","F=Woman","","","765761","From N3C","765761"
"DEMOGRAPHIC","HISPANIC","Y","","PERSON","ETHNICITY_CONCEPT_ID","38003563","From N3C","38003563"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","AFR","Afrikaans","","","44784497","From N3C","44784497"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","AMH","Amharic","","","4235403","From N3C","4235403"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","AZE","Azerbaijani","","","44782880","From N3C","44782880"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","BHO","Bhojpuri","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","BRA","Braj","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","BRE","Breton","","","44784500","From N3C","44784500"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","BYN","Bilin;  Blin","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","CES","Czech","","","4153316","From N3C","4153316"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","CHA","Chamorro","","","46285400","From N3C","46285400"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","CHY","Cheyenne","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","CRE","Cree","","","46285404","From N3C","46285404"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","DSB","Lower  Sorbian","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","EST","Estonian","","","44784502","From N3C","44784502"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","FRY","Western  Frisian","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","GLV","Manx","","","46287102","From N3C","46287102"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","GON","Gondi","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","GOR","Gorontalo","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","GWI","Gwich'in","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","HAW","Hawaiian","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","HMO","Hiri  Motu","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","HYE","Armenian","","","44782878","From N3C","44782878"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","JAV","Javanese","","","44782891","From N3C","44782891"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","KAB","Kabyle","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","KAS","Kashmiri","","","44782893","From N3C","44782893"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","KAZ","Kazakh","","","44784508","From N3C","44784508"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","KHM","Central  Khmer","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","KMB","Kimbundu","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","KOK","Konkani","","","43531382","From N3C","43531382"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","KON","Kongo","","","46287225","From N3C","46287225"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","KRL","Karelian","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","LAM","Lamba","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","LIN","Lingala","","","4256746","From N3C","4256746"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","LOL","Mongo","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","MDF","Moksha","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","MIC","Mi'kmaq;  Micmac","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","MIN","Minangkabau","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","MRI","Maori","","","44784511","From N3C","44784511"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","MUS","Creek","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","NEW","Nepal  Bhasa;  Newari","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","NSO","Pedi;  Sepedi;  Northern  Sotho","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","PAM","Pampanga;  Kapampangan","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","PAU","Palauan","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","POR","Portuguese","","","4152251","From N3C","4152251"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","RAP","Rapanui","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","RUP","Aromanian;  Arumanian;  Macedo-Romanian","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","SAD","Sandawe","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","SAS","Sasak","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","SEL","Selkup","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","SNA","Shona","","","4216337","From N3C","4216337"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","SNK","Soninke","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","SRR","Serer","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","SUN","Sundanese","","","44784517","From N3C","44784517"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","THA","Thai","","","4248658","From N3C","4248658"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","TLI","Tlingit","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","TVL","Tuvalua","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","UDM","Udmurt","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","UKR","Ukrainian","","","4233053","From N3C","4233053"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","WAL","Wolaitta;  Wolaytta","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","WAS","Washo","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","ZGH","Standard  Moroccan  Tamazight","","","0","From N3C","0"
"DEMOGRAPHIC","PAT_PREF_LANGUAGE_SPOKEN","ZZA","Zaza;  Dimili;  Dimli;  Kirdki;  Kirmanjki;  Zazaki","","","0","From N3C","0"
"DEMOGRAPHIC","RACE","06","","PERSON","RACE_CONCEPT_ID","45878142","From N3C","45878142"
"DEMOGRAPHIC","RACE","07","","PERSON","RACE_CONCEPT_ID","0","From N3C","0"
"DEMOGRAPHIC","RACE","OT","","PERSON","RACE_CONCEPT_ID","0","From N3C","0"
"DEMOGRAPHIC","RACE","UN","","PERSON","RACE_CONCEPT_ID","0","From N3C","0"
"DEMOGRAPHIC","SEX","A","","PERSON","GENDER_CONCEPT_ID","0","From N3C","0"
"DEMOGRAPHIC","SEX","F","","PERSON","GENDER_CONCEPT_ID","8532","From N3C","8532"
"DEMOGRAPHIC","SEXUAL_ORIENTATION","GA","GA=Gay","","","4328364","From N3C","4328364"
"DISPENSING","DISPENSE_SOURCE","UN","UN=Unknown","","","0","From N3C","0"
"LAB_RESULT_CM","NORM_MODIFIER_HIGH","LT","LT=Less  than","","","4171756","From N3C","4171756"
"LAB_RESULT_CM","RAW_RESULT","A POSITIVE","A POSITIVE","","","46238174","From N3C","46238174"
"LAB_RESULT_CM","RAW_RESULT","AB NEG","AB NEG","","","46237994","From N3C","46237994"
"LAB_RESULT_CM","RAW_RESULT","AB POSITIVE","AB POSITIVE","","","46237873","From N3C","46237873"
"LAB_RESULT_CM","RAW_RESULT","B","Blood Group B","","","4009006","From N3C","4009006"
"LAB_RESULT_CM","RAW_RESULT","B POS","B POSITIVE","","","46237993","From N3C","46237993"
"LAB_RESULT_CM","RAW_RESULT","O POS","O POS","","","46237992","From N3C","46237992"
